iter	Passed	Remaining
0	0	83
1	1	74
2	2	70
3	2	64
4	3	63
5	3	62
6	4	61
7	5	60
8	5	59
9	6	58
10	7	58
11	7	57
12	8	57
13	9	56
14	9	56
15	10	55
16	11	55
17	11	54
18	12	53
19	13	52
20	13	52
21	14	51
22	15	50
23	15	50
24	16	49
25	17	48
26	17	48
27	18	47
28	19	47
29	19	46
30	20	45
31	21	45
32	21	44
33	22	44
34	23	43
35	24	43
36	25	42
37	25	41
38	26	41
39	26	40
40	27	39
41	27	38
42	28	37
43	29	37
44	29	36
45	30	35
46	31	35
47	31	34
48	32	33
49	33	33
50	34	32
51	34	32
52	35	31
53	36	30
54	36	29
55	37	29
56	38	28
57	38	28
58	39	27
59	40	26
60	40	26
61	41	25
62	42	24
63	42	24
64	43	23
65	44	22
66	44	22
67	45	21
68	46	20
69	46	20
70	47	19
71	48	18
72	49	18
73	49	17
74	50	16
75	51	16
76	51	15
77	52	14
78	53	14
79	53	13
80	54	12
81	55	12
82	55	11
83	56	10
84	57	10
85	57	9
86	58	8
87	59	8
88	59	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
