iter	Passed	Remaining
0	151	151133
1	151	75801
2	152	50672
3	153	38098
4	153	30566
5	154	25538
6	154	21945
7	155	19251
8	155	17156
9	156	15477
10	156	14114
11	157	12993
12	158	12030
13	159	11217
14	160	10510
15	160	9895
16	161	9343
17	162	8848
18	162	8402
19	163	8003
20	163	7641
21	164	7314
22	165	7015
23	165	6738
24	166	6483
25	166	6248
26	167	6031
27	167	5829
28	168	5640
29	169	5466
30	169	5303
31	170	5151
32	170	5007
33	171	4872
34	172	4743
35	172	4623
36	173	4509
37	173	4402
38	174	4303
39	175	4218
40	176	4124
41	176	4035
42	177	3950
43	178	3868
44	178	3790
45	179	3715
46	179	3643
47	180	3574
48	180	3509
49	181	3447
50	181	3386
51	182	3327
52	183	3270
53	183	3216
54	184	3164
55	184	3113
56	185	3064
57	185	3017
58	186	2971
59	186	2927
60	187	2884
61	187	2843
62	188	2805
63	189	2773
64	190	2740
65	191	2705
66	191	2670
67	192	2636
68	193	2605
69	193	2573
70	194	2541
71	194	2511
72	195	2481
73	195	2451
74	196	2423
75	197	2396
76	197	2369
77	198	2343
78	198	2317
79	199	2292
80	199	2268
81	200	2245
82	200	2218
83	201	2196
84	201	2174
85	202	2152
86	203	2131
87	203	2111
88	204	2092
89	205	2073
90	205	2054
91	206	2035
92	206	2016
93	207	1998
94	208	1983
95	208	1966
96	209	1949
97	210	1933
98	210	1917
99	211	1901
100	211	1885
101	212	1869
102	212	1853
103	213	1838
104	213	1823
105	214	1808
106	214	1793
107	215	1779
108	215	1765
109	216	1751
110	217	1738
111	217	1725
112	218	1712
113	218	1700
114	219	1688
115	220	1678
116	220	1665
117	221	1653
118	221	1642
119	222	1630
120	222	1619
121	223	1607
122	223	1596
123	224	1585
124	224	1574
125	225	1564
126	225	1553
127	226	1543
128	227	1534
129	227	1524
130	228	1514
131	228	1505
132	229	1495
133	230	1486
134	230	1477
135	231	1468
136	231	1459
137	232	1451
138	233	1443
139	233	1436
140	234	1428
141	235	1420
142	235	1414
143	236	1406
144	237	1397
145	237	1389
146	238	1381
147	238	1373
148	239	1365
149	239	1358
150	240	1350
151	240	1343
152	241	1335
153	241	1328
154	242	1321
155	242	1314
156	243	1307
157	243	1299
158	244	1293
159	245	1286
160	245	1279
161	245	1272
162	246	1265
